,Summary,Precip Type,Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Time,Year,Month,Day
46,2,0,14.42,0.58,20.01,159.0,15.83,20,2006,4,10
47,2,0,14.26,0.59,16.5,168.0,14.96,21,2006,4,10
48,2,0,13.77,0.6,17.1,160.0,15.83,22,2006,4,10
49,2,0,13.28,0.63,14.36,160.0,15.83,23,2006,4,10
50,2,0,8.63,0.87,22.04,32.0,6.7,0,2006,4,11
51,2,0,11.25,0.83,11.33,152.0,15.83,1,2006,4,11
52,2,0,11.18,0.89,11.21,180.0,9.9,2,2006,4,11
53,2,0,10.69,0.95,10.4,161.0,6.7,3,2006,4,11
65,2,0,13.58,0.9,20.96,321.0,7.62,15,2006,4,11
66,1,0,10.91,0.86,22.4,311.0,2.66,16,2006,4,11
68,2,0,8.96,0.93,23.22,340.0,3.82,18,2006,4,11
69,2,0,8.2,0.96,25.42,330.0,4.49,19,2006,4,11
71,2,0,7.77,0.96,19.29,339.0,5.68,21,2006,4,11
72,1,0,8.2,0.96,20.45,341.0,3.11,22,2006,4,11
75,2,0,7.64,0.93,14.91,9.0,6.12,1,2006,4,12
76,2,0,6.62,0.93,25.04,0.0,6.12,2,2006,4,12
77,2,0,6.68,0.93,19.84,350.0,6.17,3,2006,4,12
88,2,0,10.12,0.76,25.34,311.0,11.27,14,2006,4,12
89,2,0,11.04,0.66,21.41,311.0,9.98,15,2006,4,12
90,2,0,10.65,0.7,17.85,310.0,14.91,16,2006,4,12
91,2,0,10.05,0.7,15.2,328.0,9.98,17,2006,4,12
93,2,0,8.79,0.71,12.36,20.0,9.98,19,2006,4,12
95,2,0,7.86,0.72,9.8,11.0,15.01,21,2006,4,12
97,2,0,7.24,0.75,7.12,309.0,15.87,23,2006,4,12
99,2,0,7.2,0.76,14.47,273.0,15.83,1,2006,4,13
100,2,0,6.69,0.7,20.53,300.0,15.83,2,2006,4,13
101,2,0,6.21,0.73,19.3,309.0,14.96,3,2006,4,13
102,2,0,6.11,0.76,17.44,300.0,9.98,4,2006,4,13
103,2,0,6.11,0.76,20.41,300.0,9.98,5,2006,4,13
104,2,0,6.17,0.76,17.05,307.0,9.98,6,2006,4,13
105,2,0,7.22,0.71,20.51,319.0,9.98,7,2006,4,13
106,2,0,7.29,0.73,17.65,328.0,9.98,8,2006,4,13
107,2,0,7.41,0.72,14.41,318.0,9.98,9,2006,4,13
108,2,0,7.96,0.7,10.75,321.0,10.05,10,2006,4,13
109,2,0,8.03,0.7,4.86,349.0,10.05,11,2006,4,13
110,2,0,9.08,0.65,2.38,348.0,10.03,12,2006,4,13
111,2,0,9.05,0.62,0.32,243.0,9.98,13,2006,4,13
112,2,0,9.05,0.65,3.25,177.0,11.21,14,2006,4,13
113,2,0,9.18,0.65,3.01,170.0,11.03,15,2006,4,13
114,2,0,9.07,0.7,10.46,172.0,9.98,16,2006,4,13
115,2,0,7.98,0.75,7.34,172.0,9.98,17,2006,4,13
116,2,0,8.07,0.75,9.52,150.0,9.98,18,2006,4,13
117,2,0,7.89,0.82,10.0,142.0,9.98,19,2006,4,13
118,2,0,7.31,0.83,13.68,141.0,11.98,20,2006,4,13
126,1,0,5.21,0.92,4.77,178.0,1.22,4,2006,4,14
127,2,0,6.26,0.92,7.92,223.0,7.21,5,2006,4,14
166,2,0,12.78,0.66,11.08,141.0,15.83,20,2006,4,15
167,2,0,12.73,0.67,13.38,149.0,14.96,21,2006,4,15
168,2,0,12.27,0.69,14.14,151.0,15.83,22,2006,4,15
169,2,0,11.71,0.71,11.32,158.0,15.83,23,2006,4,15
171,2,0,12.2,0.59,14.17,141.0,15.83,1,2006,4,16
172,2,0,12.2,0.6,14.3,151.0,15.83,2,2006,4,16
173,2,0,11.69,0.68,13.83,152.0,14.96,3,2006,4,16
174,2,0,11.21,0.77,14.01,132.0,9.98,4,2006,4,16
180,2,0,17.84,0.56,22.22,251.0,11.27,10,2006,4,16
182,2,0,18.67,0.56,19.9,240.0,11.4,12,2006,4,16
183,2,0,17.82,0.56,17.5,243.0,11.27,13,2006,4,16
184,2,0,17.8,0.59,17.69,281.0,11.27,14,2006,4,16
222,1,0,6.63,0.96,3.3,313.0,2.93,4,2006,4,18
223,0,0,8.69,0.93,1.43,290.0,5.84,5,2006,4,18
239,2,0,14.51,0.75,6.38,47.0,14.96,21,2006,4,18
240,2,0,14.37,0.75,6.54,67.0,15.83,22,2006,4,18
241,2,0,14.88,0.72,14.22,60.0,15.83,23,2006,4,18
242,1,0,10.41,0.92,3.61,144.0,2.01,0,2006,4,19
243,2,0,12.82,0.83,8.44,57.0,11.21,1,2006,4,19
244,2,0,12.8,0.85,14.43,31.0,14.91,2,2006,4,19
245,2,0,12.83,0.86,13.89,12.0,14.17,3,2006,4,19
246,2,0,12.27,0.85,15.78,12.0,11.21,4,2006,4,19
247,2,0,12.27,0.85,15.58,2.0,11.27,5,2006,4,19
249,2,0,12.17,0.8,20.38,11.0,11.27,7,2006,4,19
250,2,0,12.71,0.83,22.09,19.0,11.27,8,2006,4,19
254,2,0,17.22,0.71,14.09,46.0,11.03,12,2006,4,19
259,2,0,13.17,0.93,3.77,335.0,5.22,17,2006,4,19
260,2,0,13.26,0.93,3.14,228.0,8.05,18,2006,4,19
261,2,0,13.01,0.93,10.34,274.0,9.98,19,2006,4,19
289,1,0,10.76,0.91,5.17,178.0,0.61,23,2006,4,19
291,1,0,9.67,0.94,5.72,123.0,0.61,1,2006,4,20
292,1,0,8.15,0.94,6.76,10.0,0.61,2,2006,4,20
293,1,0,10.2,0.95,5.62,133.0,1.11,3,2006,4,20
294,1,0,10.12,0.99,2.25,127.0,0.52,4,2006,4,20
295,1,0,10.16,0.99,0.34,81.0,0.43,5,2006,4,20
296,1,0,11.24,0.98,2.75,358.0,0.69,6,2006,4,20
297,1,0,12.24,0.99,2.25,152.0,2.21,7,2006,4,20
298,2,0,13.91,0.92,8.1,135.0,4.2,8,2006,4,20
302,2,0,14.27,0.87,10.56,134.0,6.89,12,2006,4,20
304,2,0,15.03,0.86,7.71,139.0,7.28,14,2006,4,20
305,2,0,13.94,0.89,7.28,152.0,6.31,15,2006,4,20
306,2,0,12.92,0.95,11.48,310.0,4.75,16,2006,4,20
307,2,0,12.89,0.95,5.28,347.0,5.22,17,2006,4,20
308,2,0,12.4,0.98,2.35,72.0,5.83,18,2006,4,20
309,0,0,12.27,0.99,8.05,320.0,6.2,19,2006,4,20
313,1,0,11.54,0.96,5.99,301.0,3.12,23,2006,4,20
314,1,0,9.44,0.96,5.97,326.0,1.8,0,2006,4,21
315,2,0,11.44,0.96,6.28,340.0,3.88,1,2006,4,21
316,2,0,11.39,0.96,6.44,350.0,3.86,2,2006,4,21
317,2,0,11.53,0.96,6.42,332.0,3.25,3,2006,4,21
318,1,0,11.95,0.93,4.83,340.0,0.64,4,2006,4,21
319,1,0,11.97,1.0,9.66,10.0,1.26,5,2006,4,21
320,1,0,12.63,0.96,7.66,7.0,2.35,6,2006,4,21
321,2,0,12.76,0.96,7.97,1.0,4.03,7,2006,4,21
322,2,0,13.84,0.9,7.92,30.0,4.49,8,2006,4,21
323,2,0,13.17,0.94,10.38,8.0,6.26,9,2006,4,21
334,1,0,11.09,0.95,4.85,56.0,1.06,20,2006,4,21
335,1,0,11.09,0.95,3.38,11.0,1.79,21,2006,4,21
336,1,0,9.88,0.96,3.36,349.0,1.06,22,2006,4,21
337,0,0,9.36,0.96,6.42,321.0,3.36,23,2006,4,21
338,0,0,9.86,0.96,3.24,319.0,4.46,0,2006,4,22
339,1,0,8.27,0.99,3.32,313.0,1.92,1,2006,4,22
340,1,0,8.87,0.96,2.62,337.0,1.75,2,2006,4,22
341,1,0,8.82,0.96,3.94,335.0,2.37,3,2006,4,22
342,1,0,7.16,1.0,1.85,319.0,0.29,4,2006,4,22
343,1,0,8.85,0.99,3.48,295.0,1.75,5,2006,4,22
344,1,0,11.18,0.93,2.88,285.0,2.56,6,2006,4,22
357,0,0,12.49,0.91,3.94,197.0,9.98,19,2006,4,22
358,0,0,12.24,0.89,1.53,140.0,15.83,20,2006,4,22
359,0,0,11.42,0.92,2.96,275.0,14.96,21,2006,4,22
360,0,0,10.56,0.95,6.04,290.0,14.81,22,2006,4,22
361,0,0,10.47,0.93,3.08,270.0,9.8,23,2006,4,22
363,0,0,9.36,0.96,1.53,100.0,4.03,1,2006,4,23
364,1,0,8.31,0.96,3.22,300.0,2.03,2,2006,4,23
365,1,0,8.81,0.96,3.4,333.0,1.74,3,2006,4,23
366,1,0,8.73,0.93,6.34,304.0,0.79,4,2006,4,23
386,0,0,12.38,0.8,4.62,172.0,14.17,0,2006,4,24
390,1,0,7.69,1.0,0.0,0.0,0.74,4,2006,4,24
391,0,0,10.91,0.99,1.61,210.0,4.12,5,2006,4,24
392,0,0,14.84,0.82,2.66,193.0,8.34,6,2006,4,24
393,0,0,18.8,0.65,1.53,140.0,9.98,7,2006,4,24
394,0,0,21.09,0.49,4.88,199.0,9.98,8,2006,4,24
406,0,0,14.91,0.72,3.75,136.0,15.83,20,2006,4,24
407,0,0,13.08,0.87,3.41,185.0,14.96,21,2006,4,24
408,0,0,12.71,0.89,3.25,169.0,15.83,22,2006,4,24
409,0,0,12.13,0.89,3.17,148.0,14.91,23,2006,4,24
410,0,0,11.81,0.84,4.99,68.0,14.96,0,2006,4,25
411,0,0,12.02,0.8,6.26,169.0,14.91,1,2006,4,25
412,0,0,12.04,0.8,6.42,187.0,14.81,2,2006,4,25
414,0,0,9.91,0.99,9.14,141.0,6.12,4,2006,4,25
432,0,0,13.31,0.82,3.54,73.0,15.83,22,2006,4,25
433,0,0,12.73,0.83,3.08,70.0,15.83,23,2006,4,25
438,0,0,9.97,0.92,1.56,106.0,10.98,4,2006,4,26
455,0,0,15.96,0.79,12.28,23.0,11.93,21,2006,4,26
472,2,0,21.26,0.67,4.89,164.0,9.98,14,2006,4,27
473,2,0,20.23,0.66,7.21,161.0,9.98,15,2006,4,27
474,2,0,19.08,0.71,7.65,153.0,9.98,16,2006,4,27
486,2,0,13.87,0.9,7.94,106.0,9.9,4,2006,4,28
534,1,0,5.86,0.93,0.43,53.0,0.47,4,2006,4,3
535,0,0,5.93,1.0,0.14,230.0,5.84,5,2006,4,3
536,0,0,10.41,1.0,0.72,18.0,5.39,6,2006,4,3
582,2,0,8.82,0.84,14.49,320.0,10.95,4,2006,4,4
585,2,0,7.8,0.96,22.78,329.0,7.97,7,2006,4,4
586,2,0,7.82,0.95,14.22,328.0,6.12,8,2006,4,4
587,2,0,7.94,0.95,9.77,299.0,10.06,9,2006,4,4
588,2,0,8.08,0.94,15.78,291.0,11.27,10,2006,4,4
589,2,0,10.23,0.81,11.32,291.0,11.27,11,2006,4,4
590,2,0,11.36,0.74,4.2,292.0,11.08,12,2006,4,4
597,0,0,7.83,0.87,7.37,152.0,9.98,19,2006,4,4
598,0,0,6.68,0.91,5.8,155.0,15.83,20,2006,4,4
599,0,0,6.12,0.91,6.28,156.0,14.17,21,2006,4,4
601,0,0,4.36,0.95,10.92,190.0,3.36,23,2006,4,4
606,1,0,2.71,0.96,7.97,167.0,0.52,4,2006,4,5
607,1,0,3.82,1.0,5.28,169.0,2.74,5,2006,4,5
608,0,0,6.88,0.93,9.11,135.0,5.68,6,2006,4,5
614,2,0,14.03,0.57,22.68,150.0,11.4,12,2006,4,5
617,2,0,15.09,0.5,17.19,151.0,10.35,15,2006,4,5
618,2,0,14.95,0.51,14.12,159.0,11.21,16,2006,4,5
619,2,0,13.82,0.59,11.13,140.0,11.21,17,2006,4,5
620,2,0,12.92,0.64,11.69,130.0,9.98,18,2006,4,5
621,2,0,13.84,0.59,14.23,149.0,11.21,19,2006,4,5
